信贷机构编号,信贷分行名称,信贷支行名称,账务机构,七级分类,台账状态,客户名称,证件号码,客户编号,信贷产品名称（三级）,贷款起始日,贷款终止日,还款方式,利率调整模式,本金逾期天数,利息逾期天数,户籍所在地,客户经理,利率调整方式,借款用途,客户类型,出生年月,月偿还债务,月收入,数据日期,利率加减点,首付款比例,结息方式,贷款余额,贷款期限,展期次数,利率,贷款合同金额,拖欠利息,利率调整周期（月）,首付款金额,欠息累计,表外欠息,表内欠息
ORG0080,西安分行,雁塔支行,ACC0080,关注三,正常,客户80,610101197501013732,CUST00080,装修贷,2021-01-04,2050-07-31,等额本息,固定利率,22,22,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,16803,7586,2024-12-21,0,30%,按月结息,2359427,360,0,5.01,2455904,7318,12,736771.2,0,0,3150
ORG0081,宝鸡分行,碑林支行,ACC0081,正常,正常,客户81,610101199301011655,CUST00081,装修贷,2022-05-26,2024-05-15,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,15016,26731,2024-12-21,0,30%,按月结息,3598323,24,0,6.1,4306148,0,12,1291844.4,0,0,0
ORG0082,西安分行,高新支行,ACC0082,损失,正常,客户82,610101196301017120,CUST00082,信用贷,2023-03-23,2025-03-12,等额本息,固定利率,977,977,陕西省西安市,经理李,按年调整,留学,个人,1980-01-01,18173,31518,2024-12-21,0,30%,按月结息,1285863,24,0,4.44,2047484,256,12,614245.2,0,0,2330
ORG0083,咸阳分行,雁塔支行,ACC0083,次级,正常,客户83,610101197201014451,CUST00083,信用贷,2023-03-19,2026-03-03,等额本息,固定利率,550,550,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,12467,48811,2024-12-21,0,30%,按月结息,4216778,36,0,4.57,4258358,9008,12,1277507.4,0,0,3990
ORG0084,汉中分行,雁塔支行,ACC0084,正常,正常,客户84,610101195001012202,CUST00084,个人经营性贷款,2020-05-25,2025-04-29,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,经营周转,个人,1980-01-01,13191,38193,2024-12-21,0,30%,按月结息,3727864,60,0,5.13,4516209,0,12,1354862.7,0,0,0
ORG0085,渭南分行,雁塔支行,ACC0085,正常,正常,客户85,610101195401012246,CUST00085,个人住房贷款,2020-01-27,2039-10-14,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,装修,个人,1980-01-01,15091,23800,2024-12-21,0,30%,按月结息,2453161,240,0,6.02,3064494,0,12,919348.2,0,0,0
ORG0086,咸阳分行,莲湖支行,ACC0086,损失,正常,客户86,610101199701016015,CUST00086,个人经营性贷款,2019-10-07,2049-05-02,等额本息,固定利率,880,880,陕西省西安市,经理王,按年调整,购房,个人,1980-01-01,3857,8635,2024-12-21,0,30%,按月结息,319994,360,0,3.95,444017,9869,12,133205.1,0,0,3586
ORG0087,渭南分行,雁塔支行,ACC0087,正常,正常,客户87,610101197901018509,CUST00087,个人消费贷款,2021-06-07,2026-05-12,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,10499,19713,2024-12-21,0,30%,按月结息,4901296,60,0,4.04,5496936,0,12,1649080.8,0,0,0
ORG0088,咸阳分行,高新支行,ACC0088,正常,正常,客户88,610101199701015931,CUST00088,个人住房贷款,2019-03-19,2029-01-25,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,5692,31607,2024-12-21,0,30%,按月结息,906173,120,0,6.41,1827812,0,12,548343.6,0,0,0
ORG0089,汉中分行,莲湖支行,ACC0089,正常,正常,客户89,610101198601017400,CUST00089,个人住房贷款,2018-06-19,2020-06-08,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,15160,11420,2024-12-21,0,30%,按月结息,1101171,24,0,6.0,1528825,0,12,458647.5,0,0,0
ORG0090,咸阳分行,高新支行,ACC0090,正常,正常,客户90,610101198401017255,CUST00090,装修贷,2018-05-03,2047-11-27,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,经营周转,个人,1980-01-01,11996,35003,2024-12-21,0,30%,按月结息,867773,360,0,6.11,1119355,0,12,335806.5,0,0,0
ORG0091,西安分行,经开支行,ACC0091,正常,正常,客户91,610101196601018934,CUST00091,个人经营性贷款,2018-04-21,2019-04-16,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,装修,个人,1980-01-01,13347,29107,2024-12-21,0,30%,按月结息,3883111,12,0,5.45,4234904,0,12,1270471.2,0,0,0
ORG0092,汉中分行,碑林支行,ACC0092,正常,正常,客户92,610101197401013885,CUST00092,个人住房贷款,2022-08-16,2027-07-21,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,经营周转,个人,1980-01-01,5524,32896,2024-12-21,0,30%,按月结息,1109118,60,0,4.68,1649403,0,12,494820.89999999997,0,0,0
ORG0093,咸阳分行,经开支行,ACC0093,正常,正常,客户93,610101197801014078,CUST00093,个人住房贷款,2021-05-12,2022-05-07,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,装修,个人,1980-01-01,9216,10845,2024-12-21,0,30%,按月结息,2169736,12,0,6.11,2967536,0,12,890260.7999999999,0,0,0
ORG0094,渭南分行,高新支行,ACC0094,正常,正常,客户94,610101196801018929,CUST00094,个人经营性贷款,2020-10-15,2025-09-19,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,留学,个人,1980-01-01,18764,26078,2024-12-21,0,30%,按月结息,2852259,60,0,4.69,3629088,0,12,1088726.4,0,0,0
ORG0095,汉中分行,雁塔支行,ACC0095,正常,正常,客户95,610101199201016636,CUST00095,装修贷,2018-12-28,2019-12-23,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,11995,41565,2024-12-21,0,30%,按月结息,3284567,12,0,6.39,4075222,0,12,1222566.5999999999,0,0,0
ORG0096,渭南分行,雁塔支行,ACC0096,正常,正常,客户96,610101199001012750,CUST00096,装修贷,2023-03-18,2025-03-07,等额本息,固定利率,0,0,陕西省西安市,经理张,按年调整,经营周转,个人,1980-01-01,3999,6480,2024-12-21,0,30%,按月结息,4463314,24,0,4.05,5454372,0,12,1636311.5999999999,0,0,0
ORG0097,西安分行,雁塔支行,ACC0097,正常,正常,客户97,610101197601012453,CUST00097,装修贷,2018-06-29,2020-06-18,等额本息,固定利率,0,0,陕西省西安市,经理王,按年调整,装修,个人,1980-01-01,17729,40327,2024-12-21,0,30%,按月结息,1531777,24,0,5.16,1788611,0,12,536583.2999999999,0,0,0
ORG0098,咸阳分行,经开支行,ACC0098,损失,正常,客户98,610101198301016910,CUST00098,个人住房贷款,2023-12-08,2053-07-03,等额本息,固定利率,466,466,陕西省西安市,经理张,按年调整,消费,个人,1980-01-01,12075,5494,2024-12-21,0,30%,按月结息,2306855,360,0,5.96,2489061,9849,12,746718.2999999999,0,0,1867
ORG0099,渭南分行,高新支行,ACC0099,正常,正常,客户99,610101198301011596,CUST00099,装修贷,2021-04-10,2026-03-15,等额本息,固定利率,0,0,陕西省西安市,经理李,按年调整,经营周转,个人,1980-01-01,18679,17606,2024-12-21,0,30%,按月结息,162275,60,0,4.56,603398,0,12,181019.4,0,0,0
